Comment,Emotion,Clean_Comment
i feel like i m in some weird limbo between childhood and adulthood,fear,feel like weird limbo childhood adulthood
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger,havent gotten yet still resent paying dollar procedure wasnt fully successful since wore glass year feel ive tortured enough
i just remember feeling so much pain and being confused and scared and convinced that i could not do this,fear,remember feeling much pain confused scared convinced could
i like her too much to feel as if im being obnoxious and getting involved into somethign that has nothing to do with me,anger,like much feel im obnoxious getting involved somethign nothing
i began to feel that it was shaken so badly that it would never be repaired,fear,began feel shaken badly would never repaired
my roommate was rude to me,anger,roommate rude
i feel pleased about this issue there are a lot of beautiful pieces in it for example maggie lees poem titled a href http vol,joy,feel pleased issue lot beautiful piece example maggie lee poem titled href http vol
im feeling slightly irritable but generally level headed and actually not in a bad mood,anger,im feeling slightly irritable generally level headed actually bad mood
i was feeling a little like a cold was coming on,anger,feeling little like cold coming
i have so much to be thankful for so to feel jealous of a skinny girl with a seemingly disposable income who is shopping at the mall seems so,anger,much thankful feel jealous skinny girl seemingly disposable income shopping mall seems
i am feeling very shaky today,fear,feeling shaky today
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger,seem wake every day recently feeling immensely irritable cant quite work
i tend to stop breathing when i m feeling stressed,anger,tend stop breathing feeling stressed
i remember feeling frantic at this point,fear,remember feeling frantic point
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,anger,im happy kitchen feel like someone rushed cut corner
